Id,Designator,Package,Quantity,Designation,Supplier and ref
5,BZ1,BUZZER_SMI_1324_TW_5V_2_R,1,Buzzer,
6,"C1,C2,C3,C4,C5,C6,C8,C9,C10,C12,C13,C14,C16,C17,C18,C20,C21,C22,C25,C26,C27,C29,C30,C31,C33,C34,C35,C36,C37,C38,C45",CP_Radial_D30.0mm_P10.00mm_SnapIn,31,47mF,
8,"C39,C40,C46,C47,C48",C_0603_HandSoldering,5,.1uF,
9,"C41,C42",C_0603_HandSoldering,2,22pF,
10,"C43,C44",C_0603_HandSoldering,2,10uF,
7,"C7,C11,C15,C19,C23,C24,C28,C32",C_0805_HandSoldering,8,C,
11,"Conn1,Conn2",Banana_Jack_1Pin,2,BananaConnector,
12,Conn3,Anderson_2_Horisontal_Side_by_Side,1,AndersonPP,
13,Conn4,MOLEX_SL_3_Horizontal,1,Molex_SL_3,
14,D1,LED_0603_HandSoldering,1,5V,
22,D10,D_SOD-123,1,15V,
23,D11,LED_0603_HandSoldering,1,Over Voltage,
24,D12,D_SOD-123,1,20V,
25,"D13,D14,D15,D16,D19",TO-220-2_Vertical,5,D,
26,D17,LED_0603_HandSoldering,1,TX,
27,D18,LED_0603_HandSoldering,1,RX,
15,D2,LED_0603_HandSoldering,1,Pulse,
28,D20,LED_0603_HandSoldering,1,FTDI PWR,
16,D3,LED_0603_HandSoldering,1,7.5V,
17,D4,LED_0603_HandSoldering,1,Ext Trigger,
18,D5,LED_0603_HandSoldering,1,10V,
19,D6,LED_0603_HandSoldering,1,Logic,
20,D7,LED_0603_HandSoldering,1,12.5V,
21,"D8,D9",D_SOD-123,2,5V,
52,G***,MRDT_Logo_20mm,1,LOGO,
29,J1,MiniUSB_SMT,1,Mini USB,
30,J2,Pin_Header_Straight_1x03_Pitch2.54mm,1,Conn_01x03_Male,
31,"L1,L2,L3,L4,L5,L6,L7,L8,L9,L10",L_0603_HandSoldering,10,Ferrite_Bead,
32,Q1,SOT-323_SC-70_Handsoldering,1,Q_NMOS_GSD,
51,Q2,SOT-23,1,MBT3904,
33,"Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13",TO-220-3_Vertical,11,Q_NMOS_GDS,
34,"R1,R3,R5,R6,R7,R8,R9",R_0603_HandSoldering,7,500,
37,"R10,R15",R_0603_HandSoldering,2,3000,
38,"R11,R16,R39",R_0603_HandSoldering,3,1000,
39,"R12,R13,R14",R_Axial_Power_L25.0mm_W6.4mm_P30.48mm,3,5,
2,R19,R_0603_HandSoldering,1,1K,
35,"R2,R17,R22,R27,R33",R_0603_HandSoldering,5,10k,
1,"R20,R18,R40",R_0603_HandSoldering,3,10K,
40,R21,R_0603_HandSoldering,1,250,
41,"R23,R26,R28,R29,R30,R31,R32,R34,R36,R38",R_0603_HandSoldering,10,10,
42,"R35,R37",R_0603_HandSoldering,2,330,
36,"R4,R24,R25",R_0603_HandSoldering,3,1k,
3,"REF**,REF**",Lead Connection,2,Lead Connection,
4,"REF**,REF**,REF**,REF**",6-32 Screw Hole,4,6-32 Screw Hole,
43,"SW1,SW4",SPST_Pushbutton,2,SW_Push,
44,SW2,SPDT_Switch,1,SW_SPDT,
45,SW3,SPST_DIP_Switch,1,Lead Voltage Trigger,
46,U1,OKI_Horisontal,1,OKI,
47,U2,DIP-28_W7.62mm,1,ATMEGA328P,
48,"U3,U5",SOIC-8_3.9x4.9mm_Pitch1.27mm,2,FAN3122TMXCT-ND,
49,U4,SSOP-28_5.3x10.2mm_Pitch0.65mm,1,FT232RL,
50,Y1,Crystal_SMD_HC49-SD_HandSoldering,1,Crystal,
